"","lineage_clusters","umap_1","umap_2"
"1","0",-2.47930186301211,5.44497662174599
"2","1",1.41841585129758,-5.89857119929893
"3","0",-0.464354389009274,3.96798687565224
"4","3",-5.14476817160586,-4.06320828807456
"5","0",-1.52330797224978,3.92224245655434
"6","0",0.0752283999349705,3.17361240970986
"7","0",-2.77880709677676,2.20300894367592
"8","0",-1.66996001511554,4.85125713932412
"9","0",-1.48795064598063,3.52202206241982
"10","0",-2.84510403185824,2.81543546306985
"11","0",-2.74795179873446,5.35592728245156
"12","4",2.87609059304258,7.56997852909463
"13","3",-4.61060922652224,-2.61995643985374
"14","3",-4.61640232115725,-2.81494182956321
"15","4",2.64112693757077,7.19707661259072
"16","0",-0.100801401433743,2.80549173939126
"17","0",-2.00088649302462,5.80641680347817
"18","2",0.697296566667759,1.76107352363961
"19","4",2.23971564263364,6.90958672153847
"20","2",2.6013351151373,0.186604732154776
"21","0",-1.804917686281,3.32394533741372
"22","4",3.56021553963681,7.4306510030021
"23","3",-4.94830148726443,-2.80155701053245
"24","2",0.0171716877843968,2.58384972202675
"25","3",-4.51962321310977,-3.09616536510093
"26","0",-1.77454602032641,4.46828203785317
"27","1",-3.20261400252322,-6.73448151958091
"28","4",3.93796593636533,8.24557095157998
"29","0",-0.838337801990307,0.846953862785269
"30","4",3.10170657128354,8.03001289951699
"31","2",4.21388012856504,-0.0529471347379497
"32","3",-3.53487985640506,-3.17936343562705
"33","4",4.46510750741025,8.53758125889199
"34","4",2.2855666348364,6.88403444874184
"35","2",1.09374076813718,1.66497176277535
"36","0",-2.54037862330417,5.15960531818764
"37","2",1.35438520401975,1.8186759291877
"38","4",3.86891133278867,7.47309094059365
"39","0",-2.74043374567965,4.05320768940346
"40","2",3.12737900704404,2.56096249210732
"41","4",2.33603078812619,6.98693018543618
"42","0",-0.789839737710751,5.58578854191201
"43","2",4.08327919930478,0.584536546348501
"44","4",3.17187983483335,7.83944588291543
"45","7",8.08710343331357,0.621978336452414
"46","0",-2.59519129305819,3.5661273537864
"47","4",4.17115742653867,8.41476803409951
"48","0",-0.948308326897419,4.5325363217582
"49","4",3.64241797417661,8.22754364597695
