"","Sample_20","Sample_21","Sample_22","Sample_23","Sample_16","Sample_17","Sample_6","Sample_24","Sample_25","Sample_26","Sample_27","Sample_14","Sample_3","Sample_5","Sample_8","Sample_28","Sample_29","Sample_30","Sample_31","Sample_1","Sample_10","Sample_4","Sample_7","Sample_32","Sample_33","Sample_34","Sample_35","Sample_13","Sample_15","Sample_18","Sample_19","Sample_36","Sample_37","Sample_38","Sample_39","Sample_11","Sample_12","Sample_2","Sample_9"
"1429028_at",11.03,11.09,10.8,11.07,8.624,11.21,11,8.785,8.583,8.294,8.555,8.774,8.852,8.459,8.126,6.938,7.814,8.098,7.511,7.39,7.764,7.386,6.817,6.459,7.167,6.501,6.621,6.961,6.823,7.174,7.027,6.469,6.377,6.712,6.025,6.656,7.044,6.66,8.954
"1416119_at",10.58,11,10.85,10.92,9.203,11.01,10.9,10.38,10.61,10.25,9.745,10.66,10.62,10.2,9.437,8.821,10.32,10.5,9.452,10.08,10.67,10.16,9.105,10.21,9.216,8.988,9.751,9.838,9.548,10.09,9.447,9.577,8.437,9.417,8.834,9.382,9.002,9.066,10.35
